CITY_NAME,LATITUDE,LONGITUDE
Crosbyton,33.62388889,-101.24083333
Cross City,29.63555556,-83.10472222
Cross Lake,54.61083333,-97.76027778
Crossville,35.95138889,-85.085
Cube Cove,57.94166667,-134.75
Culbertson,48.15361111,-104.50416667
Culebra,18.31305556,-65.30388889
Cullman,34.26861111,-86.85805556
Culpeper,38.52555556,-77.85972222
Cumberland,39.61527778,-78.76138889
Currituck,36.4,-76.01555556
Custer,43.73361111,-103.61944444
Cut Bank,48.60833333,-112.37611111
Daggett,34.85361111,-116.78666667
Dahl Creek,66.9425,-156.89138889
Dalhart,36.0225,-102.5475
Dallas,32.997592590000004,-96.75898148333334
Dallas/Fort Worth,32.865873015714286,-97.09833333285714
Dalton,34.72305556,-84.87027778
Danbury,41.37166667,-73.48222222
Danger Bay,58.13333333,-152.55
Danielson,41.81972222,-71.90083333
Danville,38.11657407333333,-83.90046296333333
Darlington,34.44944444,-79.89
Dauphin,51.10138889,-100.05333333
Davenport,41.61027778,-90.58833333
David River,55.91444444,-161.6375
Davidson Creek,58.35277778,-133.99138889
Davis/Woodland/Winters,38.57944444,-121.85694444
Dawson City,64.04222222,-139.13027778
Dawson Creek,55.74222222,-120.18305556
Dayton,39.772407406666666,-84.16416666333333
Daytona Beach,29.18,-81.05805556
De Kalb,41.93388889,-88.70555556
Deadfall,69.17083333,-163.25638889
Deadhorse,70.11203703666666,-149.52444444666665
Deadhorse1,70.13611111,-146.29
Deadmans Bay,57.06666667,-153.93777778
Dean River,52.81666667,-126.96666667
Dease Lake,58.42222222,-130.03138889
Death Valley,36.46055556,-116.87972222
Decatur,40.996111109999994,-99.54157407666666
Decatur Island,48.51,-122.80305556
Decorah,43.27555556,-91.73944444
Deep Bay,55.56027778,-131.65555556
Deer Harbor,48.62083333,-123.00305556
Deer Lake,49.20916667,-57.39444444
Deer Lodge,46.38777778,-112.765
Deering,66.06916667,-162.76694444
Defiance,41.3375,-84.42888889
Del Rio,29.366805555,-100.85263889000001
Deland,29.06694444,-81.28361111
Delaware,40.27944444,-83.11333333
Delhi,32.41083333,-91.49861111
Deline,65.21111111,-123.43638889
Delta,39.084999999999994,-110.28291666499999
Delta Junction,64.05,-145.7225
Deming,32.2625,-107.71888889
Demopolis,32.46388889,-87.95416667
Denali,63.75555556,-147.93
Dent Island ,50.41111111,-125.18333333
Denton,33.20222222,-97.19805556
Denver,39.73861111333333,-104.68666666666665
Denver City,32.97472222,-102.845
Des Moines,41.53416667,-93.6575
Desolation Sound,50.18333333,-124.7
Destin,30.4,-86.47138889
Detroit,42.293680555,-83.2682638875
Detroit Lakes,46.82527778,-95.88555556
Devils Lake,48.11666667,-98.91
Dewar Lakes,68.63333333,-71.13333333
Dexter,45.00444444,-69.2375
Diavik,64.51138889,-110.28972222
Dickinson,46.79722222,-102.80194444
Digby Island,54.28583333,-130.44472222
Dillingham,59.04472222,-158.50555556
Dillon,34.44916667,-79.36861111
Dinsmore,40.49194444,-123.59833333
Diomede Island,65.75861111,-168.95305556
Distin Lake,57.61666667,-134.36666667
Dodge City,37.76305556,-99.96555556
Dolomi,55.12222222,-132.05
Donlin Creek Mine,62.07194444,-158.20416667
Dora Bay,55.23333333,-132.21666667
Dorado,18.46388889,-66.29333333
Doris Lake,68.12527778,-106.58527778
Dorris,41.88722222,-121.97555556
Dothan,31.32111111,-85.44944444
Doug Carney Strip,61.43416667,-157.05
Douglas,37.133055555,-107.49486110999999
Dover,39.12944444,-75.46583333
